Datetime,Open,High,Low,Close,Volume,openinterest
2017-11-19 8:00:00,7761.94,8123.15,7650.33,8038,3867.340444,
2017-11-20 8:00:00,8057.11,8319.99,7954,8212,3886.634348,
2017-11-21 8:00:00,8212.49,8400,7801,8119.51,4544.474016,
2017-11-22 8:00:00,8091.09,8322.68,8091.09,8205.92,3545.00571,
2017-11-23 8:00:00,8233.03,8260,8000,8019.99,4093.952687,
2017-11-24 8:00:00,8019.97,8369,7850,8138,4411.789112,
2017-11-25 8:00:00,8138.99,8734.78,8090,8700.01,4292.623682,
2017-11-26 8:00:00,8700.04,9350,8604.72,9128.02,4147.380237,
2017-11-27 8:00:00,9128,9654.28,9112.04,9650,4521.625707,
2017-11-28 8:00:00,9650,9939,9570.5,9896.8,4917.210985,
2017-11-29 8:00:00,9896.79,11300.03,8520,9687.88,13352.53872,
2017-11-30 8:00:00,9687.88,10900,8850.8,9838.96,9389.574329,
2017-12-1 8:00:00,9837,10898,9380,10782.99,6134.923633,
2017-12-2 8:00:00,10775.04,11190,10620,10890.01,4765.439757,
2017-12-3 8:00:00,10902.69,11825,10500,11165.41,5346.636524,
2017-12-4 8:00:00,11165.41,11600,10802,11579,4663.424562,
2017-12-5 8:00:00,11571.03,11853,11447.68,11699.99,5550.732055,
2017-12-6 8:00:00,11699.99,13615.23,11665.58,13550.05,6707.946319,
2017-12-7 8:00:00,13541.01,16649.96,13050,16599,7487.065695,
2017-12-8 8:00:00,16599,17204.99,14015,15880,17589.01314,
2017-12-9 8:00:00,15880.01,16269.3,12535,14656.07,13918.75869,
2017-12-10 8:00:00,14664.01,15720.12,12368,14899.98,16553.03717,
2017-12-11 8:00:00,14946.26,17470,14901.08,16587.97,11820.40176,
2017-12-12 8:00:00,16587.97,16976.45,15875,16349.99,9436.802411,
2017-12-13 8:00:00,16349.99,16546,14666.56,16033.29,12416.3288,
2017-12-14 8:00:00,16030.34,16445,15450,16334.98,11616.86715,
2017-12-15 8:00:00,16334.98,17991,16298.45,17539.83,9181.273947,
2017-12-16 8:00:00,17516.81,19539,17190.01,19102.66,4202.628709,
2017-12-17 8:00:00,19120.19,19798.68,18510,18860.02,9177.183434,
2017-12-18 8:00:00,18860.04,19300,17029.98,18856.25,10624.63307,
2017-12-19 8:00:00,18856.25,18950,16300,17295.2,13210.74822,
2017-12-20 8:00:00,17295.2,17720.35,14777.66,16488.98,13450.49669,
2017-12-21 8:00:00,16480.52,17309.5,14022,15492.64,20324.2173,
2017-12-22 8:00:00,15514.03,15699.34,10961,13326.61,36076.27118,
2017-12-23 8:00:00,13326.61,14950,12978.18,13300,13141.53888,
2017-12-24 8:00:00,13300,13819.99,11640,13500,28557.53499,
2017-12-25 8:00:00,13500,14300,12708,13699.34,15748.20761,
2017-12-26 8:00:00,13699.34,16050,13533,15689.01,15034.6681,
2017-12-27 8:00:00,15709.98,16498.05,14200.15,15459.99,14959.86472,
2017-12-28 8:00:00,15459.97,15539.99,13150,14182.11,21717.85801,
2017-12-29 8:00:00,14199.14,14981,13850,14378.9,18072.00812,
2017-12-30 8:00:00,14378.99,14398.85,11750,12440.01,19221.15804,
2017-12-31 8:00:00,12345.1,14050.11,12149.98,13716.36,11768.98972,
2018-1-1 8:00:00,13715.65,13818.55,12750,13380,8609.915844,
2018-1-2 8:00:00,13382.16,15473.49,12890.02,14675.11,20078.09211,
2018-1-3 8:00:00,14690,15307.56,14150,14919.51,15905.66764,
2018-1-4 8:00:00,14919.51,15280,13918.04,15059.54,21329.64957,
2018-1-5 8:00:00,15059.56,17176.24,14600,16960.39,23251.49113,
2018-1-6 8:00:00,16960.39,17143.13,16011.21,17069.79,18571.45751,
2018-1-7 8:00:00,17069.79,17099.96,15610,16150.03,12493.12556,
2018-1-8 8:00:00,16218.85,16322.3,12812,14902.54,26600.60991,
2018-1-9 8:00:00,14902.54,15500,14011.05,14400,14315.00425,
2018-1-10 8:00:00,14401,14955.66,13131.31,14907.09,17411.00166,
2018-1-11 8:00:00,14940,14968.68,11400,13238.78,33554.72375,
2018-1-12 8:00:00,13238.76,14109.78,12500,13740.01,16417.16214,
2018-1-13 8:00:00,13749.95,14580,13706.15,14210,12221.50853,
2018-1-14 8:00:00,14210,14339.5,12569.2,13474.99,17017.89433,
2018-1-15 8:00:00,13477.98,14249.99,13147.79,13539.93,14652.09471,
2018-1-16 8:00:00,13500,13542.93,9035,10900,63401.16918,
2018-1-17 8:00:00,10899.99,11680.99,9037.94,10988.79,72331.79665,
2018-1-18 8:00:00,10972.59,11878.82,10435.33,10961.97,48464.43494,
2018-1-19 8:00:00,10960,11795,10360,11474.98,34129.37542,
2018-1-20 8:00:00,11474.98,13099,11412.45,12799.94,28768.85783,
2018-1-21 8:00:00,12799.8,12799.8,10965,11530,41379.77343,
2018-1-22 8:00:00,11530,11926.35,9900.24,10760.05,43752.60679,
2018-1-23 8:00:00,10760.05,11399,9905,10799.18,37473.92255,
2018-1-24 8:00:00,10799.14,11570.48,10500,11349.99,27158.58776,
2018-1-25 8:00:00,11349.96,11794.05,10950.21,11175.27,20839.95418,
2018-1-26 8:00:00,11184.7,11643,10311.15,11089,33056.87196,
2018-1-27 8:00:00,11089,11650,10842.69,11491,18860.76835,
2018-1-28 8:00:00,11499.98,12244,11408,11879.95,16887.33952,
2018-1-29 8:00:00,11879.95,11975.02,11139.55,11251,14170.37754,
2018-1-30 8:00:00,11250.11,11308.42,9900,10237.51,25554.37295,
2018-1-31 8:00:00,10230,10425.85,9700,10285.1,18015.95681,
2018-2-1 8:00:00,10285.1,10335,8750.99,9224.52,33564.76431,
2018-2-2 8:00:00,9224.52,9250,8010.02,8873.03,49971.62698,
2018-2-3 8:00:00,8873.03,9473.01,8229,9199.96,28725.00074,
2018-2-4 8:00:00,9199.96,9368,7930,8184.81,32014.30845,
2018-2-5 8:00:00,8179.99,8382.8,6625,6939.99,63403.18258,
2018-2-6 8:00:00,6939.63,7878,6000.01,7652.14,100201.5003,
2018-2-7 8:00:00,7655.02,8476,7150.01,7599,60778.4605,
2018-2-8 8:00:00,7599,7844,7572.09,7784.02,1521.537318,
2018-2-9 8:00:00,7789.9,8738,7789.9,8683.92,20482.91083,
2018-2-10 8:00:00,8683.93,9065.78,8120,8533.98,49381.51265,
2018-2-11 8:00:00,8533.99,8549,7726.53,8063.88,45025.18795,
2018-2-12 8:00:00,8063.82,8989,8053,8903,41987.85049,
2018-2-13 8:00:00,8903,8950,8351,8539.9,35454.97296,
2018-2-14 8:00:00,8535.17,9489.6,8533,9449.99,40811.95287,
2018-2-15 8:00:00,9449.98,10219.5,9301.5,10000.09,52427.59672,
2018-2-16 8:00:00,10000.89,10323.37,9666,10159.98,38161.20597,
2018-2-17 8:00:00,10156.07,11075.07,10050,11039.55,41882.10841,
2018-2-18 8:00:00,11039.55,11274,10080,10383.43,61137.38073,
2018-2-19 8:00:00,10375.01,11250,10270.33,11153,40831.41713,
2018-2-20 8:00:00,11147.11,11786.01,11100.59,11200.99,48153.35429,
2018-2-21 8:00:00,11195.07,11304.03,10200,10437.6,68113.81875,
2018-2-22 8:00:00,10439.02,10933.44,9679,9811.04,67060.16648,
2018-2-23 8:00:00,9815.55,10435,9570.19,10131.04,57202.70237,
2018-2-24 8:00:00,10131.04,10496.97,9352,9694.51,40888.1563,
2018-2-25 8:00:00,9694.51,9847,9274.8,9590,28373.51759,
2018-2-26 8:00:00,9590,10444.32,9350,10324,34878.29276,
2018-2-27 8:00:00,10321,10870,10121,10569.04,30705.38512,
2018-2-28 8:00:00,10584.33,11098,10300,10326.76,30800.98378,
2018-3-1 8:00:00,10325.64,11060.41,10240,10920,25092.55393,
2018-3-2 8:00:00,10923.36,11200,10770,11039,23910.71009,
2018-3-3 8:00:00,11038.99,11544,11015.01,11464.48,21287.15328,
2018-3-4 8:00:00,11464.47,11565,11050.02,11515,17295.91865,
2018-3-5 8:00:00,11515,11710,11415.01,11454,15144.23106,
2018-3-6 8:00:00,11455,11455,10555.48,10716.48,29515.57236,
2018-3-7 8:00:00,10716.48,10899,9389.31,9910,50647.67108,
2018-3-8 8:00:00,9910,10099,9060,9271.64,41109.47323,
2018-3-9 8:00:00,9267.07,9410,8329,9227,64112.29141,
2018-3-10 8:00:00,9230,9490,8667.07,8770.22,37180.01286,
2018-3-11 8:00:00,8770.22,9740,8450,9533.57,44325.97339,
2018-3-12 8:00:00,9533.57,9888.88,8780,9131.34,42230.77793,
2018-3-13 8:00:00,9131.34,9474,8823,9150,40191.40936,
2018-3-14 8:00:00,9151.92,9333.78,7900.28,8170,49708.09411,
2018-3-15 8:00:00,8184.01,8430,7650,8240.98,52291.02228,
2018-3-16 8:00:00,8240.98,8611.64,7900,8260,38815.40989,
2018-3-17 8:00:00,8260,8348.62,7721.99,7824.8,33110.20633,
2018-3-18 8:00:00,7824.01,8317.4,7322,8189.99,59488.23171,
2018-3-19 8:00:00,8189,8705.23,8088.4,8600,55297.08494,
2018-3-20 8:00:00,8595.01,9050,8280,8909.98,44865.10584,
2018-3-21 8:00:00,8909.96,9177.01,8750.6,8885,39972.40537,
2018-3-22 8:00:00,8884.82,9100,8465.1,8722.9,40617.55681,
2018-3-23 8:00:00,8720,8909,8269,8898.03,39991.00767,
2018-3-24 8:00:00,8898.04,8999.95,8491,8546.86,35466.60957,
2018-3-25 8:00:00,8531.25,8669.85,8365.77,8470.15,29001.76932,
2018-3-26 8:00:00,8470.14,8514.89,7831,8134.23,44033.59566,
2018-3-27 8:00:00,8134.22,8215.94,7730,7795.51,37427.64805,
2018-3-28 8:00:00,7795.51,8109,7728,7949.3,26401.33167,
2018-3-29 8:00:00,7949.3,7975,6941.11,7090.14,54620.91513,
2018-3-30 8:00:00,7090.16,7292.43,6600.1,6840.23,65306.03198,
2018-3-31 8:00:00,6840.24,7223.36,6777,6923.91,36868.53909,
2018-4-1 8:00:00,6922,7049.98,6430,6813.01,44071.43046,
2018-4-2 8:00:00,6813.01,7125,6765,7056,32123.56007,
2018-4-3 8:00:00,7063.97,7520,7011.01,7405.21,37787.33181,
2018-4-4 8:00:00,7405.21,7427.52,6707,6796.1,42227.1838,
2018-4-5 8:00:00,6796.1,6902,6566.69,6770.76,39029.73146,
2018-4-6 8:00:00,6770,6850,6500,6601.39,27455.01192,
2018-4-7 8:00:00,6601.39,7070,6586.28,6895.8,32269.57827,
2018-4-8 8:00:00,6895.81,7109.13,6880,7018,21427.67317,
2018-4-9 8:00:00,7011.04,7185,6611,6782.72,34078.29721,
2018-4-10 8:00:00,6781.55,6890,6656,6843.9,22326.7281,
2018-4-11 8:00:00,6839.56,6990,6787,6953.79,23997.87118,
2018-4-12 8:00:00,6953.78,8012.23,6743.2,7923,64861.59599,
2018-4-13 8:00:00,7922.99,8233.39,7732,7877.41,55044.52315,
2018-4-14 8:00:00,7877.48,8186,7810,7999.01,31621.28636,
2018-4-15 8:00:00,8004,8429.54,7999.02,8355,27946.72044,
2018-4-16 8:00:00,8355.07,8419,7867,8064.92,36664.06972,
2018-4-17 8:00:00,8064.92,8173.7,7825.4,7885.02,32152.60357,
2018-4-18 8:00:00,7890.96,8236.43,7868,8173,26969.04457,
2018-4-19 8:00:00,8173.99,8296,8080,8278,27113.84746,
2018-4-20 8:00:00,8273.84,8930,8177.09,8856.98,39795.33749,
2018-4-21 8:00:00,8852.12,9035,8565,8915.31,40872.22991,
2018-4-22 8:00:00,8915.31,9020.67,8727.68,8787.02,29458.25348,
2018-4-23 8:00:00,8785.7,8985,8745,8934.01,25838.11471,
2018-4-24 8:00:00,8934,9731.01,8922,9619.99,46268.79011,
2018-4-25 8:00:00,9618.96,9759.82,8730,8869.99,81110.03759,
2018-4-26 8:00:00,8869.99,9307.48,8651.62,9266,43300.30425,
2018-4-27 8:00:00,9267.03,9395,8889,8915.35,37241.34704,
2018-4-28 8:00:00,8915.35,9427.48,8870,9348,34759.62842,
2018-4-29 8:00:00,9348,9570.51,9163.74,9419,38149.85004,
2018-4-30 8:00:00,9417.04,9458.64,9124.99,9246.01,35002.03388,
2018-5-1 8:00:00,9246.01,9248.99,8800.49,9071.48,41018.46363,
2018-5-2 8:00:00,9071.48,9268,8970.2,9247.84,26123.54396,
2018-5-3 8:00:00,9247.81,9844,9168.4,9750,38768.38829,
2018-5-4 8:00:00,9750,9830.04,9520.85,9713.99,28681.58888,
2018-5-5 8:00:00,9714,10020,9682,9864,24990.01835,
2018-5-6 8:00:00,9863.99,9970,9417.03,9659.01,27690.35156,
2018-5-7 8:00:00,9661.02,9689.67,9181,9365,33787.64001,
2018-5-8 8:00:00,9365,9475.7,9060.54,9187.56,25533.83189,
2018-5-9 8:00:00,9178,9390,8965,9310,25673.5249,
2018-5-10 8:00:00,9310,9395.12,8970,9002.2,25055.06372,
2018-5-11 8:00:00,9002.21,9016.8,8341,8400,48227.04806,
2018-5-12 8:00:00,8405.94,8646.88,8153,8465.94,40241.32081,
2018-5-13 8:00:00,8475.44,8763.36,8298,8679.71,25632.86936,
2018-5-14 8:00:00,8679.71,8879.99,8277,8663.34,37389.66653,
2018-5-15 8:00:00,8663.37,8859.99,8401.3,8462,28126.95614,
2018-5-16 8:00:00,8462,8488,8083.01,8330,31130.71891,
2018-5-17 8:00:00,8330,8464,7979,8041.46,25439.8448,
2018-5-18 8:00:00,8038.82,8273.21,7911.9,8239.81,23476.15825,
2018-5-19 8:00:00,8238.01,8390.8,8095.73,8233.49,17193.42428,
2018-5-20 8:00:00,8233.49,8609,8163.9,8526.98,19957.05711,
2018-5-21 8:00:00,8526.97,8595.31,8305,8381.24,21516.59649,
2018-5-22 8:00:00,8386.89,8400.18,7935.11,7977.11,23710.90286,
2018-5-23 8:00:00,7977.12,8031.9,7425,7501.95,42910.66677,
2018-5-24 8:00:00,7501.95,7730.73,7266.99,7575.01,37845.4466,
2018-5-25 8:00:00,7578.99,7649.55,7308.15,7457,26739.95664,
2018-5-26 8:00:00,7456.99,7620,7300,7333.96,19464.08607,
2018-5-27 8:00:00,7334,7400,7231.11,7338.99,18706.94552,
2018-5-28 8:00:00,7338.99,7437,7058.02,7099,27219.43896,
2018-5-29 8:00:00,7099,7540,7032.95,7461.29,39407.21183,
2018-5-30 8:00:00,7467.98,7569,7260.5,7375.96,32041.58362,
2018-5-31 8:00:00,7382.07,7699,7327.51,7485.01,30776.0631,
2018-6-1 8:00:00,7485.01,7608.55,7355.54,7521.01,28259.12408,
2018-6-2 8:00:00,7521.01,7697.33,7437,7640.03,26720.69022,
2018-6-3 8:00:00,7636.81,7786.69,7600,7714.26,27505.15895,
2018-6-4 8:00:00,7714.26,7760.52,7446.5,7487,32258.83511,
2018-6-5 8:00:00,7487,7679.49,7358,7625,31722.97338,
2018-6-6 8:00:00,7626.64,7699,7467.05,7658.84,27229.9919,
2018-6-7 8:00:00,7658.79,7765,7620,7691.08,25062.2272,
2018-6-8 8:00:00,7691.08,7703.5,7531,7603.44,23396.80467,
2018-6-9 8:00:00,7603.44,7683.98,7450,7491.73,19339.88518,
2018-6-10 8:00:00,7491.73,7491.73,6622.81,6764.99,52342.02003,
2018-6-11 8:00:00,6765,6922,6610,6872,34552.1623,
2018-6-12 8:00:00,6872,6890.51,6435,6530,36722.21119,
2018-6-13 8:00:00,6530,6627.6,6118.68,6292.78,46185.5181,
2018-6-14 8:00:00,6292.78,6720,6260,6635.98,44478.13084,
2018-6-15 8:00:00,6638.67,6666.66,6362.31,6388.9,30018.32991,
2018-6-16 8:00:00,6380.01,6560,6320.86,6483.98,22277.24115,
2018-6-17 8:00:00,6482.5,6589.03,6422,6449.61,19847.24769,
2018-6-18 8:00:00,6444.06,6794.38,6380,6712.46,31821.435,
2018-6-19 8:00:00,6711.39,6841.74,6653,6741.21,24311.42114,
2018-6-20 8:00:00,6740,6817.23,6551.81,6761.51,26359.75245,
2018-6-21 8:00:00,6763.21,6795,6672.57,6718.84,25428.85405,
2018-6-22 8:00:00,6717.69,6733.97,5918.94,6045,52157.37083,
2018-6-23 8:00:00,6045.92,6260,6008.48,6149.98,26622.78859,
2018-6-24 8:00:00,6149.98,6259.8,5750,6136.97,47445.99896,
2018-6-25 8:00:00,6137.95,6350,6061.97,6252,39164.51531,
2018-6-26 8:00:00,6252,6272.54,6035,6070.78,19377.24048,
2018-6-27 8:00:00,6065.89,6190.43,5971,6133.73,19225.6711,
2018-6-28 8:00:00,6134.73,6173.01,5827,5853.98,30585.26603,
2018-6-29 8:00:00,5851.01,6300,5780,6197.92,33911.28728,
2018-6-30 8:00:00,6197.92,6528.99,6186.03,6390.07,37919.61284,
2018-7-1 8:00:00,6391.08,6441.06,6251,6356.81,27562.96597,
2018-7-2 8:00:00,6360.82,6685,6271.62,6615.29,36230.45226,
2018-7-3 8:00:00,6615.29,6679.35,6463.01,6513.86,38657.78169,
2018-7-4 8:00:00,6511.01,6784.92,6441.11,6586.98,23571.89278,
2018-7-5 8:00:00,6585.53,6712,6453.33,6529.2,35071.9729,
2018-7-6 8:00:00,6529.2,6648.54,6425,6609.78,29397.09475,
2018-7-7 8:00:00,6609.79,6818.16,6508.88,6756.98,23973.87689,
2018-7-8 8:00:00,6753.48,6780,6667.44,6712.1,24622.94779,
2018-7-9 8:00:00,6712.1,6802.06,6612.24,6662.12,26732.40655,
2018-7-10 8:00:00,6662.78,6681,6263,6296.91,38560.6727,
2018-7-11 8:00:00,6296.91,6406,6278.99,6378.07,28715.49849,
2018-7-12 8:00:00,6378.07,6380.28,6070,6250.57,31306.66335,
2018-7-13 8:00:00,6251.4,6350,6110,6214.57,26375.32529,
2018-7-14 8:00:00,6214.57,6335,6178,6251.99,17783.072,
2018-7-15 8:00:00,6250.9,6395,6225.4,6353.01,22979.21151,
2018-7-16 8:00:00,6354.15,6747.3,6330.4,6723.35,36204.87708,
2018-7-17 8:00:00,6723.33,7468.99,6652.04,7317.44,52105.42346,
2018-7-18 8:00:00,7317.44,7588.08,7225.38,7381.9,59487.64345,
2018-7-19 8:00:00,7381.88,7576.28,7270,7466.21,41218.25644,
2018-7-20 8:00:00,7468.86,7700,7273,7337.53,46140.31345,
2018-7-21 8:00:00,7337.47,7458.47,7211,7398.78,28886.49029,
2018-7-22 8:00:00,7399.25,7582.4,7335.5,7394.79,30270.21844,
2018-7-23 8:00:00,7394.78,7833,7375,7721.01,41646.34667,
2018-7-24 8:00:00,7721.65,8486,7696,8397.24,60121.16375,
2018-7-25 8:00:00,8397.24,8491.77,8050,8175.64,48257.64912,
2018-7-26 8:00:00,8175.63,8315.69,7850.06,7920,43223.48168,
2018-7-27 8:00:00,7920,8285,7805,8188.57,43671.00589,
2018-7-28 8:00:00,8188.57,8246.54,8067,8225.04,26215.17384,
2018-7-29 8:00:00,8225.04,8294.51,8115,8211,25531.22619,
2018-7-30 8:00:00,8210.99,8273,7866,8173.92,39692.41654,
2018-7-31 8:00:00,8171.4,8180,7633,7730.93,48296.91559,
2018-8-1 8:00:00,7735.67,7750,7430,7604.58,42582.31293,
2018-8-2 8:00:00,7600.08,7709.46,7455.72,7525.71,37665.69668,
2018-8-3 8:00:00,7525.71,7540,7282.44,7418.78,44669.48605,
2018-8-4 8:00:00,7412.27,7494.81,6926,7009.84,36288.42601,
2018-8-5 8:00:00,7009.84,7089.87,6882.29,7024.19,32894.84978,
2018-8-6 8:00:00,7024.19,7160,6821,6934.82,32760.19164,
2018-8-7 8:00:00,6935,7150.46,6670,6720.06,45438.4735,
2018-8-8 8:00:00,6720.63,6721.54,6123,6285,59550.53632,
2018-8-9 8:00:00,6283.27,6622.81,6178.6,6529.79,51941.18511,
2018-8-10 8:00:00,6529.79,6575.88,6026.39,6144.01,59034.9749,
2018-8-11 8:00:00,6148.13,6488,5971,6232.35,47133.41856,
2018-8-12 8:00:00,6222.55,6472.3,6130,6308.33,38567.77071,
2018-8-13 8:00:00,6308.56,6545,6145.04,6246.35,53895.82878,
2018-8-14 8:00:00,6248.25,6250.33,5880,6188.08,50186.74509,
2018-8-15 8:00:00,6188.08,6609,6172.11,6267.16,68806.68703,
2018-8-16 8:00:00,6265.27,6480,6205.6,6311.75,48515.25462,
2018-8-17 8:00:00,6316,6585,6285.4,6584.49,57851.6108,
2018-8-18 8:00:00,6579.04,6620,6288,6387.96,53742.32217,
2018-8-19 8:00:00,6387.96,6541,6300,6477.53,45190.84799,
2018-8-20 8:00:00,6477.53,6530,6220,6254.84,49435.55526,
2018-8-21 8:00:00,6251,6500,6235.08,6480,41569.94741,
2018-8-22 8:00:00,6479.98,6882.54,6251.2,6360.89,77909.39136,
2018-8-23 8:00:00,6362.57,6576.99,6342.28,6525.01,40358.16683,
2018-8-24 8:00:00,6525,6725,6440.5,6681.64,38305.67532,
2018-8-25 8:00:00,6686.98,6789,6650.61,6733.64,19220.50593,
2018-8-26 8:00:00,6733.64,6775.27,6568,6700,20107.29721,
2018-8-27 8:00:00,6700,6940.51,6646.5,6908.64,37747.07875,
2018-8-28 8:00:00,6907.26,7135,6860,7076.11,48352.91716,
2018-8-29 8:00:00,7077,7133.81,6912.34,7031.22,43252.48739,
2018-8-30 8:00:00,7033.21,7063.63,6784.81,6984.84,44716.77462,
2018-8-31 8:00:00,6984.84,7089,6888,7011.21,40467.40064,
2018-9-1 8:00:00,7011.21,7275,7008.74,7200.01,40323.41409,
2018-9-2 8:00:00,7201.57,7345.45,7127,7302.01,39814.84035,
2018-9-3 8:00:00,7302,7338.28,7191.63,7263.02,32396.01837,
2018-9-4 8:00:00,7263,7410,7227.17,7359.06,35300.64052,
2018-9-5 8:00:00,7359.05,7397.3,6682,6700,63715.25627,
2018-9-6 8:00:00,6697.27,6725,6265,6516.01,60644.46423,
2018-9-7 8:00:00,6516.84,6544,6320,6395.54,38906.28805,
2018-9-8 8:00:00,6395.54,6478,6111,6185.05,38215.03217,
2018-9-9 8:00:00,6185.06,6441,6141.53,6250.81,37053.92382,
2018-9-10 8:00:00,6252.26,6373.98,6221,6312,32439.45643,
